Series Name,Series Code,Country Name,Country Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Ukraine,UKR,12.0718562874252,48.6998646434424,13.9127101997796,14.4383227488749,10.9518559353178,7.88671745611135,2.73249209419427,9.36313917695222,20.1836366617478,12.8490222828559,6.50198464669252
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Poland,POL,0.0538213132399892,-0.874125874125848,-0.664767331433944,2.07593553673849,1.81295156542687,2.22747880938301,3.37446972618589,5.05502704719269,14.4294507575758,11.5289127961105,3.78426007512869
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Afghanistan,AFG,4.67399603536345,-0.661709164713771,4.38389195513915,4.97595150553836,0.626149149168802,2.30237251516839,5.60188791482222,5.1332034082496,13.7121023720065,-4.64470870797776,-6.60118564073727
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Albania,ALB,1.62586504402611,1.89617402592365,1.27543168367414,1.98666133171195,2.02805963071135,1.41109078954247,1.62088661717011,2.04147163139547,6.72520271530052,4.75976421930108,2.21448953273292
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Algeria,DZA,2.91692692067458,4.78444700693894,6.39769480268751,5.5911159096167,4.26999020467083,1.95176821052892,2.41513094083414,7.22606307415475,9.26551551551555,9.32217375928319,4.04611455313438
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Angola,AGO,7.2803873036112,9.35597215533781,30.6944150806719,29.8444799015679,19.6289379701521,17.080954143438,22.271539247051,25.7542948841891,21.3552901320822,13.6441017767715,28.2404948915773
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Antigua and Barbuda,ATG,1.08944157435359,0.968993458825594,-0.489437796230531,2.43248789041367,1.20715793367006,1.43135598182988,0.625989707046714,2.06299638545329,7.53107834634287,5.06713865364216,6.19886698842119
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Armenia,ARM,2.98130868933676,3.73169119261694,-1.40360755900904,0.969553268816178,2.52023382001632,1.44344660770699,1.2114357783847,7.18483629443367,8.64091108973852,1.98041877615558,0.269511978259078
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Australia,AUS,2.48792270531401,1.5083667216592,1.2769909449733,1.94864740944521,1.91140094445694,1.6107678729038,0.846905537459283,2.86391042204996,6.59409671341846,5.59701492537313,3.16161428305747
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Austria,AUT,1.60581182954475,0.896563335260335,0.891591752655315,2.08126911385585,1.99837981429547,1.53089564152644,1.38191063351859,2.7666666666667,8.54686993188449,7.81413417002833,2.93791574279385
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Azerbaijan,AZE,1.37344181533176,4.02768573742726,12.4433748584372,12.9359184187335,2.26854690373999,2.61057182799215,2.75980947008127,6.65029912708779,13.8522590144267,8.78543049849081,2.21217188919901
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Bahrain,BHR,2.64755321246194,1.8486274237498,2.78679347602043,1.38671830576399,2.08766938046983,1.00582004702132,-2.31770629331375,-0.606319385140878,3.62574104304489,0.0746206782191527,0.919635459817729
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Bangladesh,BGD,6.99163889220849,6.19428022984985,5.51352572692994,5.70207015717244,5.54362139486472,5.59199639930633,5.69107474746208,5.54565430773475,7.69695437176898,9.88350303779208,10.4657482763412
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Belarus,BLR,18.1195543526734,13.5344897649735,11.8365807653496,6.03183725177786,4.8723022055069,5.59815595039853,5.54814357456511,9.46028389623105,15.209675274081,5.00059903091313,5.78531910427999
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Belgium,BEL,0.340002833356965,0.561429152790087,1.97385264653175,2.12597086002608,2.05316499865184,1.4368195699643,0.740791812220353,2.44024851144083,9.59751172872501,4.04901077613945,3.14349136500037
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Belize,BLZ,1.20139964481059,-0.86158400942767,0.663427167917562,1.14765339305811,0.269982622646363,0.187069385181459,0.121434644614868,3.23563659237068,6.27689319447547,4.38984017487678,3.28955985952764
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Benin,BEN,-0.548757550948178,0.218785923536209,-0.79331014578558,0.0432648555103161,0.919170717886098,0.732849371241047,3.02272119663757,1.73353962694033,1.35077863583529,2.73870078406076,1.16093089640415
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Bhutan,BTN,8.27106093949328,4.54814395082206,3.21988689395717,4.95508366985128,2.72396386183714,2.72643037388829,5.62936522632511,7.3468144053353,5.63916671396366,4.22934419929255,2.76131569624095
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Bolivia,BOL,5.76660074579141,4.05961041135646,3.62321431764138,2.8227580554717,2.27205987230154,1.83954504969027,0.940742153381827,0.737383721452307,1.74632872945968,2.57688800489189,5.09976568317427
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Bosnia and Herzegovina,BIH,-0.89719405419433,-1.03602303425471,-1.5841,0.810133321953058,1.41710814018034,0.562782154061217,-1.05129600763489,1.98163900587619,14.0208440826771,6.10590112848281,1.69212733599721
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Botswana,BWA,4.4022530924343,3.06203169580557,2.81495791361944,3.3082807676822,3.23801558947711,2.77286442863323,1.8903591682421,7.24097765588445,11.665567478802,5.06761549343829,2.8183513167625
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Brazil,BRA,6.32904015516141,9.02990102416137,8.73914352329392,3.44637335032668,3.66485028376727,3.73297621216898,3.21176803803373,8.30165975585677,9.28010608956872,4.59356282283203,4.36746407652335
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Brunei Darussalam,BRN,-0.207108731719819,-0.488347420743483,-0.278693265753081,-1.2605056462896,1.02505179290213,-0.390522069165538,1.94031996607182,1.73341388450597,3.68225030604211,0.35706431153695,-0.388674165036466
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Bulgaria,BGR,-1.41818380264845,-0.104633261008384,-0.798649886453677,2.06159619443141,2.8145447382483,3.10372944796774,1.67244096855763,3.29774435299508,15.3252589264367,9.44284140088566,2.44651943006078
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Burkina Faso,BFA,-0.25808951753536,0.7248389810706,0.441041448058777,1.48299897161327,1.95594302672532,-3.23338933983324,1.88470066518848,3.65326761825511,..,..,4.19081721344524
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Burundi,BDI,4.40535234185288,5.54468891259784,5.55768961400966,16.0525353030392,-2.81469807668464,-0.686772170797372,7.32110643415518,8.40453845076341,18.8008786664945,26.9414835762453,20.2124925027847
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Cabo Verde,CPV,-0.238778144990621,0.131187999024519,-1.40781637091705,0.784415251101357,1.25699566690508,1.10666674296062,0.605795808395438,1.86215297494641,7.9309292543009,3.72437517668746,1.04817001091962
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Cambodia,KHM,3.85568861424203,1.22393195511124,3.01913975139129,2.91263557371475,2.45908515380142,1.94257500833107,2.94029514263971,2.92073477592951,5.34370264895434,2.12746796594196,..
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Cameroon,CMR,1.85489850366779,2.67623531419901,0.874190383288837,0.640409149881966,1.0688581131292,2.45280214062729,2.43760882182241,2.27185762503636,6.24767713343864,7.38281384280978,4.53061267315864
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Canada,CAN,1.90663590717867,1.12524136094278,1.42875954701085,1.5968841285297,2.26822567248104,1.94926902411596,0.716999632307807,3.39519318527533,6.80280115341609,3.87900159788427,2.38158383281171
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Central African Republic,CAF,14.898684179755,1.40297017136817,4.94543276106514,4.1807233187127,1.61215686991552,2.68537355266785,1.71015659523154,4.25936417542868,5.58316735183248,2.97913852618937,1.47733600718747
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Chad,TCD,1.68197313925665,4.37712665065658,-0.792440525236024,-1.5370996298085,4.27462198610548,-0.971939175419342,4.46414437232861,-0.772844370359154,5.78802687843618,10.8363568399842,8.89950732263755
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Chile,CHL,4.71867527854673,4.34877353217046,3.78619355893118,2.18271846868521,2.43488981353054,2.55754475703329,3.0454908480433,4.52456838259137,11.643866711056,7.58168251407967,4.29763891572522
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,China,CHN,1.92164162788522,1.43702380935656,2.00000182191942,1.59313600071433,2.07479039965575,2.89923416358229,2.41942189457778,0.981015135544894,1.97357555739052,0.23483682889306,0.218128938439166
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Colombia,COL,2.89883787761735,4.9898311584953,7.51346024627682,4.3143132569501,3.2405693293057,3.5230193274144,2.5266350008471,3.49505757399449,10.1772313546166,11.735904494869,6.60908593728228
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Costa Rica,CRI,4.51920098516959,0.801982005099561,-0.0174788505907852,1.6259069299173,2.22111461526584,2.09604635327805,0.724911478131341,1.72647755109242,8.27477490232656,0.525193508693476,-0.412853001047083
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Cote d'Ivoire,CIV,0.44868207676616,1.25149954781475,0.723178457513241,0.685881065304602,0.3594090313807,-1.10686343994195,2.42500656821817,4.09195189692865,5.27616724262842,4.38711707003282,3.46637314660163
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Croatia,HRV,-0.215196159576262,-0.464499004644924,-1.125,1.12937210282344,1.50012501041755,0.771820346498037,0.154811374562112,2.55450699642037,10.7805806758686,7.94128177586827,2.97200477643622
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Cyprus,CYP,-1.35498885446316,-2.09699769053113,-1.42916666666665,0.531766496174477,1.43549119531763,0.250370996758475,-0.638422797978945,2.44608867175474,8.39548297993332,3.54134188751658,1.80023018624818
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Czechia,CZE,0.343988589646766,0.309364548495,0.683504209385646,2.45053398460141,2.14949494949498,2.84787595918044,3.16129528497808,3.83984491500143,15.1001651468372,10.6612601372426,2.43531202435312
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Denmark,DNK,0.564020540449519,0.452034153691592,0.25000000000002,1.14713216957606,0.813609467455621,0.758131572511616,0.420711974110097,1.85304543989681,7.69656699889264,3.30517811237605,1.37220049768919
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Djibouti,DJI,1.34186494340158,-0.847389733971989,2.73841208738758,0.568112117084724,0.147970849877118,3.31925372703827,1.77740783806177,1.18191775339798,5.17980847967062,1.49506816515083,2.07655387954205
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Dominica,DMA,0.799250372687505,-0.843826984638284,0.14181622573231,0.296252889279519,0.989191119189886,1.50462353858142,1.22026442242472,2.22891330700348,2.88490226829352,5.08677483158105,2.58973869112059
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Dominican Republic,DOM,2.9986422612522,0.836746346724547,1.6141660724522,3.27955694678547,3.5644342601351,1.8106037704296,3.78103179915515,8.2430034798181,8.81109209279586,4.78561281021137,3.30223338951224
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Ecuador,ECU,3.58922016616669,3.96664623255353,1.72826463324535,0.41733558866682,-0.224103246005501,0.266012515466146,-0.338872392562181,0.133251386096379,3.46616972213076,2.21568764237062,1.54732515615369
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,El Salvador,SLV,1.14134467538236,-0.731384487387936,0.604049086996647,1.01235403315575,1.09033000581892,0.0753241350024998,-0.37159021232411,3.46692585313084,7.19861615609861,4.04554694222478,0.853782292567271
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Equatorial Guinea,GNQ,4.30999866149104,1.67663085315991,1.4119391547901,0.744354746612477,1.06007410662165,1.53027528964192,4.76669523944226,-0.0971007664640153,4.78671704710806,2.85949506037317,2.92140227309108
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Estonia,EST,-0.106175146521685,-0.492326006547392,0.148684907627365,3.41723549488055,3.43632688420446,2.27725931243518,-0.444531097679813,4.65316673847475,19.3982634080616,9.15922507983982,3.52056053296582
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Ethiopia,ETH,6.89001951597188,9.56889955968623,6.62813337230927,10.6871150284238,13.8330356586661,15.8096321719344,20.3563468559061,26.8395221557722,33.8898797100898,30.2188278135278,21.0377460577711
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Fiji,FJI,0.519306474579164,1.37488542621438,3.86322538221276,3.34757834757835,4.0814763764453,1.77310182460277,-2.59524325887374,0.155855722131513,4.52019266394958,2.14817440623892,4.51138256524156
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Finland,FIN,1.04119621178439,-0.207928839905252,0.356684500891724,0.754015047084353,1.08382098409304,1.02409392963425,0.290554555653304,2.19457432340004,7.12350773301401,6.25064322154762,1.5656890623162
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,France,FRA,0.507758822937963,0.0375143805125298,0.183334861123829,1.03228275064667,1.85081508315501,1.10825492288292,0.476498852725014,1.64233141038393,5.22236748369736,4.87835726508438,1.99904942291464
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Gabon,GAB,4.69045751826286,-0.338795188753388,2.10670712784051,2.65192583143897,4.74906652083221,2.46456756151188,1.35276110675338,1.08690746519409,4.23124798274575,3.62901534185377,1.17311998381216
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Georgia,GEO,3.06881210379543,4.00357820695097,2.13492713939121,6.03531725272117,2.6152447139767,4.85289821696723,5.2024648897534,9.56691433824769,11.8981654203198,2.48776056578715,1.10971758022096
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Germany,DEU,0.906794000434214,0.514426137125455,0.491747008445213,1.50949485109622,1.73216879766948,1.44565976888253,0.144877925813963,3.0666666666667,6.87257438551096,5.94643667725828,2.25649814338757
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Ghana,GHA,15.4896160333319,17.1499695007878,17.4546347070868,12.3719215507049,7.80876516610703,7.14364003330856,9.88728956269943,9.97108867504442,31.2558951049016,38.1069656296501,22.8483281157842
