Series Name,Series Code,Country Name,Country Code,2018 [YR2018],2019 [YR2019]
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Georgia,GEO,2.6152447139767,4.85289821696723
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Germany,DEU,1.73216879766948,1.44565976888253
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Ghana,GHA,7.80876516610703,7.14364003330856
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Greece,GRC,0.625621413453609,0.253007522038191
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Grenada,GRD,0.804102313277022,0.598149764736098
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Guatemala,GTM,3.75186186704505,3.69998398008605
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Guinea,GIN,9.82761701259194,9.4700103925301
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Guinea-Bissau,GNB,0.38132470279102,0.246600268147865
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Guyana,GUY,1.28284288443521,2.08723089162013
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Haiti,HTI,12.4814111170435,18.7037825672506
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Honduras,HND,4.34734937777525,4.36587159819271
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Hungary,HUN,2.8502479259464,3.33858635382014
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Iceland,ISL,2.68291768267385,3.01397179156058
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,India,IND,3.93882646691633,3.72950573539127
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Indonesia,IDN,3.19834755924998,3.03058460941658
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Iraq,IRQ,0.36744148893688,-0.198965380023939
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Ireland,IRL,0.471130713712891,0.937842961189285
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Israel,ISR,0.805060379528465,0.817645940292847
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Italy,ITA,1.13748763600396,0.611246943765281
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Jamaica,JAM,3.73663882152162,3.90510000865874
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Japan,JPN,0.989094598021811,0.468776159383928
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Jordan,JOR,4.46231108475482,0.76151404726555
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Kazakhstan,KAZ,6.16366247577756,5.33356098916663
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Kenya,KEN,4.68980646776328,5.23963795764789
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Kiribati,KIR,0.564030491493486,-1.81307995302948
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Kosovo,XKX,1.05379773654994,2.67599202639889
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Kuwait,KWT,0.543133148199583,1.09184802655853
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Kyrgyz Republic,KGZ,1.5426614523843,1.13362257718806
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Lao PDR,LAO,2.04039266890203,3.32255881256922
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Latvia,LVA,2.53445424186594,2.81140920075619
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Lebanon,LBN,6.07698907889611,3.00538949390382
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Lesotho,LSO,4.75180301624745,5.18708359197979
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Liberia,LBR,23.5635148953742,26.9662760197878
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Libya,LBY,13.1702038536721,-2.16217883470595
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Lithuania,LTU,2.69792779208392,2.33450937988028
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Luxembourg,LUX,1.52819524307374,1.74332075653852
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,North Macedonia,MKD,1.45831298507117,0.766439573459716
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Madagascar,MDG,8.59422958870479,5.61051441492363
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Malawi,MWI,12.420178108921,9.3708360560567
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Malaysia,MYS,0.884709160571202,0.662891865764397
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Maldives,MDV,-0.13337338611759,0.220029731065378
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Mali,MLI,0.299546507387863,-1.65826694846365
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Malta,MLT,1.15782362451512,1.64206001768947
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Mauritania,MRT,3.06735996058356,2.30009262117939
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Mauritius,MUS,3.21605383144576,0.405655190309536
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Mexico,MEX,4.89935015356547,3.63596142127045
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Moldova,MDA,3.04505397337069,4.83778351428724
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Mongolia,MNG,6.82424790145522,7.30106953550727
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Montenegro,MNE,2.61122378263799,0.361563704540745
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Morocco,MAR,1.80391671141895,0.303386036590358
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Mozambique,MOZ,3.91133439990731,2.80270307928108
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Myanmar,MMR,6.87232865662918,8.82506696804562
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Namibia,NAM,4.2915910533787,3.72239414422697
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Nepal,NPL,4.0611633875107,5.56868547784929
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Netherlands,NLD,1.70349794744475,2.63369910249596
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,New Zealand,NZL,1.59829703801696,1.61963190184049
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Nicaragua,NIC,4.94723728039881,5.37628990844127
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Niger,NER,2.9676036600445,-2.48979265070854
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Nigeria,NGA,12.0951065173432,11.3964223378115
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Norway,NOR,2.76483134528787,2.16773003305404
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Oman,OMN,0.889312370970333,0.490815362820714
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Pakistan,PAK,5.07805725868913,10.5783618004555
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Palau,PLW,2.10970464135021,0.267379679144385
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Panama,PAN,0.761578359399968,-0.355083821021219
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Papua New Guinea,PNG,4.37448921453165,3.92867290939596
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Paraguay,PRY,3.97561015740694,2.75709727562778
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Peru,PER,1.50915423024742,2.25212191358024
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Philippines,PHL,5.3093466162771,2.39206534422405
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Poland,POL,1.81295156542687,2.22747880938301
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Portugal,PRT,0.99371568346828,0.338178410046057
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Qatar,QAT,0.255815382724384,-0.66664112486111
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Romania,ROU,4.62548443137774,3.82785432599435
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Russian Federation,RUS,2.87829723647885,4.47036660760176
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Rwanda,RWA,-0.311210160390699,3.34787655037643
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Samoa,WSM,4.19745888663753,0.982326569888101
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,San Marino,SMR,1.16333522293151,0.472651967352905
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Sao Tome and Principe,STP,7.86859628873909,7.72024525213249
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Saudi Arabia,SAU,2.45719835917882,-2.0933490096655
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Senegal,SEN,0.460985642464248,1.7601115119294
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Serbia,SRB,1.95984076293799,1.84922984511088
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Seychelles,SYC,3.70291839111562,1.80709400809983
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Sierra Leone,SLE,16.0295447693698,14.8049990906021
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Singapore,SGP,0.438784215129628,0.567829988405464
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Slovak Republic,SVK,2.5140371288381,2.66456133425436
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Slovenia,SVN,1.73860861988179,1.63052260754342
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Solomon Islands,SLB,3.46147484973737,1.63485544012245
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,South Africa,ZAF,4.50987264867393,4.1028507546115
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,South Sudan,SSD,83.5015294922,87.2413641500032
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Spain,ESP,1.67498136863794,0.699518994458692
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Sri Lanka,LKA,2.13503773713198,3.52839358231813
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,St. Kitts and Nevis,KNA,-1.03712214131572,-0.329562063663953
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,St. Lucia,LCA,1.93561893150608,0.539087559191736
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,St. Vincent and the Grenadines,VCT,2.32414485367922,0.91306972532454
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Sudan,SDN,63.2925073455883,50.9940515002971
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Eswatini,SWZ,4.81506167461506,2.59801620311074
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Sweden,SWE,1.95353530127028,1.78415097403837
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Switzerland,CHE,0.936335464113563,0.362886179940615
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Syrian Arab Republic,SYR,0.940983843906781,13.4175653228571
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Tanzania,TZA,3.49445848856184,3.46428057999023
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Thailand,THA,1.06389754183025,0.706728601314275
